# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
1.454532e+00 2.919749e+03 2.900547e+03 4.444705e+02 4.414901e+02
1.460819e+00 2.939275e+03 2.916465e+03 4.639972e+02 4.574081e+02
1.467110e+00 2.941720e+03 2.911005e+03 4.664421e+02 4.519482e+02
1.473393e+00 2.965124e+03 2.943635e+03 4.898454e+02 4.845782e+02
1.479670e+00 2.975630e+03 2.954552e+03 5.003517e+02 4.954957e+02
1.485956e+00 2.988858e+03 2.968507e+03 5.135798e+02 5.094505e+02
1.492234e+00 3.005570e+03 2.983438e+03 5.302914e+02 5.243812e+02
1.498502e+00 3.015719e+03 2.994486e+03 5.404408e+02 5.354296e+02
1.504786e+00 3.039026e+03 3.015480e+03 5.637481e+02 5.564231e+02
1.511076e+00 3.049796e+03 3.025917e+03 5.745178e+02 5.668606e+02
1.517362e+00 3.076156e+03 3.045214e+03 6.008775e+02 5.861569e+02
1.523649e+00 3.091521e+03 3.067574e+03 6.162429e+02 6.085168e+02
1.529938e+00 3.107403e+03 3.087802e+03 6.321248e+02 6.287456e+02
1.536230e+00 3.120387e+03 3.099388e+03 6.451086e+02 6.403314e+02
1.542511e+00 3.148416e+03 3.127171e+03 6.731374e+02 6.681144e+02
1.548784e+00 3.162939e+03 3.136970e+03 6.876613e+02 6.779137e+02
1.555073e+00 3.190344e+03 3.159958e+03 7.150660e+02 7.009012e+02
1.561357e+00 3.197429e+03 3.171753e+03 7.221512e+02 7.126964e+02
1.567629e+00 3.222953e+03 3.200908e+03 7.476753e+02 7.418516e+02
1.573914e+00 3.253897e+03 3.223620e+03 7.786189e+02 7.645633e+02
1.580204e+00 3.267359e+03 3.239646e+03 7.920807e+02 7.805889e+02
1.586485e+00 3.294239e+03 3.274690e+03 8.189610e+02 8.156333e+02
1.592760e+00 3.315644e+03 3.290742e+03 8.403655e+02 8.316852e+02
1.599046e+00 3.355430e+03 3.332501e+03 8.801519e+02 8.734440e+02
1.605342e+00 3.370752e+03 3.341524e+03 8.954741e+02 8.824675e+02
1.611620e+00 3.381974e+03 3.351015e+03 9.066960e+02 8.919581e+02
1.617897e+00 3.386867e+03 3.362579e+03 9.115889e+02 9.035222e+02
1.624183e+00 3.386831e+03 3.369645e+03 9.115525e+02 9.105888e+02
1.630464e+00 3.405179e+03 3.382645e+03 9.299007e+02 9.235879e+02
1.636748e+00 3.418838e+03 3.391788e+03 9.435594e+02 9.327308e+02
1.643030e+00 3.420307e+03 3.394534e+03 9.450288e+02 9.354774e+02
1.649308e+00 3.435195e+03 3.407614e+03 9.599171e+02 9.485570e+02
1.655592e+00 3.435762e+03 3.413657e+03 9.604837e+02 9.545999e+02
1.661878e+00 3.440062e+03 3.425640e+03 9.647836e+02 9.665837e+02
1.668168e+00 3.445689e+03 3.416495e+03 9.704108e+02 9.574386e+02
1.674450e+00 3.463234e+03 3.440038e+03 9.879558e+02 9.809809e+02
1.680721e+00 3.476985e+03 3.446558e+03 1.001706e+03 9.875009e+02
1.687012e+00 3.469064e+03 3.444282e+03 9.937854e+02 9.852256e+02
1.693307e+00 3.490191e+03 3.465624e+03 1.014912e+03 1.006568e+03
1.699581e+00 3.505042e+03 3.476739e+03 1.029764e+03 1.017682e+03
1.705862e+00 3.504707e+03 3.485378e+03 1.029429e+03 1.026321e+03
1.712152e+00 3.518905e+03 3.493160e+03 1.043627e+03 1.034103e+03
1.718435e+00 3.516287e+03 3.491172e+03 1.041009e+03 1.032116e+03
1.724718e+00 3.542035e+03 3.514726e+03 1.066757e+03 1.055669e+03
1.730995e+00 3.547541e+03 3.520870e+03 1.072263e+03 1.061813e+03
1.737286e+00 3.563948e+03 3.529236e+03 1.088670e+03 1.070179e+03
1.743566e+00 3.579101e+03 3.545294e+03 1.103823e+03 1.086238e+03
1.749836e+00 3.578494e+03 3.551876e+03 1.103216e+03 1.092819e+03
1.756123e+00 3.599907e+03 3.571106e+03 1.124629e+03 1.112049e+03
1.762411e+00 3.607058e+03 3.577324e+03 1.131780e+03 1.118268e+03
1.768694e+00 3.622292e+03 3.597790e+03 1.147014e+03 1.138734e+03
1.774977e+00 3.643850e+03 3.613243e+03 1.168572e+03 1.154186e+03
1.781264e+00 3.652878e+03 3.630371e+03 1.177600e+03 1.171314e+03
1.787546e+00 3.674223e+03 3.641293e+03 1.198945e+03 1.182236e+03
1.793827e+00 3.678306e+03 3.658359e+03 1.203027e+03 1.199302e+03
1.800108e+00 3.683659e+03 3.653973e+03 1.208381e+03 1.194916e+03
1.806391e+00 3.705362e+03 3.679969e+03 1.230084e+03 1.220913e+03
1.812675e+00 3.725029e+03 3.701094e+03 1.249750e+03 1.242037e+03
1.818954e+00 3.740100e+03 3.711201e+03 1.264822e+03 1.252144e+03
1.825239e+00 3.753498e+03 3.726676e+03 1.278220e+03 1.267619e+03
1.831524e+00 3.767324e+03 3.737596e+03 1.292046e+03 1.278539e+03
1.837810e+00 3.786266e+03 3.752929e+03 1.310988e+03 1.293873e+03
1.844096e+00 3.805776e+03 3.778917e+03 1.330498e+03 1.319860e+03
1.850377e+00 3.819026e+03 3.784259e+03 1.343748e+03 1.325202e+03
1.856661e+00 3.836643e+03 3.808094e+03 1.361365e+03 1.349037e+03
1.862944e+00 3.857383e+03 3.826118e+03 1.382105e+03 1.367061e+03
1.869222e+00 3.881048e+03 3.856366e+03 1.405770e+03 1.397310e+03
1.875508e+00 3.890365e+03 3.865731e+03 1.415086e+03 1.406675e+03
1.881795e+00 3.896963e+03 3.873109e+03 1.421685e+03 1.414053e+03
1.888078e+00 3.934969e+03 3.905694e+03 1.459691e+03 1.446637e+03
1.894352e+00 3.951792e+03 3.928710e+03 1.476514e+03 1.469653e+03
1.900638e+00 3.973671e+03 3.941382e+03 1.498393e+03 1.482325e+03
