# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
1.165509e+00 2.745001e+03 2.592350e+03 1.418713e+02 1.332932e+02
1.171793e+00 2.753903e+03 2.591679e+03 1.507732e+02 1.326225e+02
1.178087e+00 2.752166e+03 2.595982e+03 1.490363e+02 1.369251e+02
1.184368e+00 2.745102e+03 2.594235e+03 1.419723e+02 1.351783e+02
1.190635e+00 2.754799e+03 2.602108e+03 1.516694e+02 1.430517e+02
1.196912e+00 2.758070e+03 2.602607e+03 1.549404e+02 1.435504e+02
1.203202e+00 2.757661e+03 2.597649e+03 1.545315e+02 1.385924e+02
1.209487e+00 2.762932e+03 2.608951e+03 1.598022e+02 1.498948e+02
1.215764e+00 2.769067e+03 2.614650e+03 1.659379e+02 1.555930e+02
1.222050e+00 2.772572e+03 2.618636e+03 1.694422e+02 1.595790e+02
1.228341e+00 2.786885e+03 2.622616e+03 1.837560e+02 1.635594e+02
1.234633e+00 2.778229e+03 2.626611e+03 1.750997e+02 1.675542e+02
1.240902e+00 2.798032e+03 2.643103e+03 1.949026e+02 1.840459e+02
1.247175e+00 2.782451e+03 2.631617e+03 1.793219e+02 1.725605e+02
1.253465e+00 2.801183e+03 2.639732e+03 1.980536e+02 1.806749e+02
1.259750e+00 2.790404e+03 2.633014e+03 1.872743e+02 1.739576e+02
1.266032e+00 2.801042e+03 2.642452e+03 1.979123e+02 1.833957e+02
1.272316e+00 2.810100e+03 2.654362e+03 2.069706e+02 1.953057e+02
1.278604e+00 2.814905e+03 2.655501e+03 2.117755e+02 1.964446e+02
1.284887e+00 2.829437e+03 2.671793e+03 2.263071e+02 2.127367e+02
1.291175e+00 2.828184e+03 2.671995e+03 2.250545e+02 2.129382e+02
1.297466e+00 2.836124e+03 2.679349e+03 2.329941e+02 2.202924e+02
1.303742e+00 2.838042e+03 2.678172e+03 2.349126e+02 2.191149e+02
1.310017e+00 2.839972e+03 2.673848e+03 2.368429e+02 2.147910e+02
1.316301e+00 2.849433e+03 2.688734e+03 2.463040e+02 2.296776e+02
1.322587e+00 2.849441e+03 2.689323e+03 2.463111e+02 2.302661e+02
1.328865e+00 2.867350e+03 2.702543e+03 2.642202e+02 2.434861e+02
1.335145e+00 2.873750e+03 2.711185e+03 2.706202e+02 2.521285e+02
1.341441e+00 2.879815e+03 2.720897e+03 2.766853e+02 2.618407e+02
1.347731e+00 2.890697e+03 2.726027e+03 2.875675e+02 2.669702e+02
1.354002e+00 2.902228e+03 2.744127e+03 2.990983e+02 2.850703e+02
1.360283e+00 2.899387e+03 2.734825e+03 2.962576e+02 2.757684e+02
1.366566e+00 2.914852e+03 2.749031e+03 3.117228e+02 2.899748e+02
1.372851e+00 2.926454e+03 2.764244e+03 3.233247e+02 3.051874e+02
1.379135e+00 2.931289e+03 2.764133e+03 3.281594e+02 3.050767e+02
1.385410e+00 2.946376e+03 2.783039e+03 3.432464e+02 3.239826e+02
1.391699e+00 2.952149e+03 2.781527e+03 3.490197e+02 3.224703e+02
1.397984e+00 2.963986e+03 2.801995e+03 3.608570e+02 3.429383e+02
1.404268e+00 2.975543e+03 2.809155e+03 3.724136e+02 3.500983e+02
1.410555e+00 2.977271e+03 2.807815e+03 3.741414e+02 3.487581e+02
1.416838e+00 2.996490e+03 2.829308e+03 3.933607e+02 3.702513e+02
1.423118e+00 3.003304e+03 2.843545e+03 4.001747e+02 3.844888e+02
1.429398e+00 3.009981e+03 2.842337e+03 4.068518e+02 3.832799e+02
1.435687e+00 3.028912e+03 2.855598e+03 4.257824e+02 3.965412e+02
1.441977e+00 3.034172e+03 2.859911e+03 4.310427e+02 4.008539e+02
1.448254e+00 3.059041e+03 2.892864e+03 4.559113e+02 4.338075e+02
1.454532e+00 3.069555e+03 2.900547e+03 4.664255e+02 4.414901e+02
1.460819e+00 3.085886e+03 2.916465e+03 4.827566e+02 4.574081e+02
1.467110e+00 3.095282e+03 2.911005e+03 4.921521e+02 4.519482e+02
1.473393e+00 3.117526e+03 2.943635e+03 5.143963e+02 4.845782e+02
1.479670e+00 3.130500e+03 2.954552e+03 5.273707e+02 4.954957e+02
1.485956e+00 3.144033e+03 2.968507e+03 5.409033e+02 5.094505e+02
1.492234e+00 3.156823e+03 2.983438e+03 5.536931e+02 5.243812e+02
1.498502e+00 3.174101e+03 2.994486e+03 5.709718e+02 5.354296e+02
1.504786e+00 3.193082e+03 3.015480e+03 5.899525e+02 5.564231e+02
1.511076e+00 3.206722e+03 3.025917e+03 6.035922e+02 5.668606e+02
1.517362e+00 3.233357e+03 3.045214e+03 6.302270e+02 5.861569e+02
1.523649e+00 3.247961e+03 3.067574e+03 6.448314e+02 6.085168e+02
1.529938e+00 3.267361e+03 3.087802e+03 6.642316e+02 6.287456e+02
1.536230e+00 3.283605e+03 3.099388e+03 6.804757e+02 6.403314e+02
1.542511e+00 3.310066e+03 3.127171e+03 7.069369e+02 6.681144e+02
1.548784e+00 3.323848e+03 3.136970e+03 7.207184e+02 6.779137e+02
1.555073e+00 3.355614e+03 3.159958e+03 7.524850e+02 7.009012e+02
1.561357e+00 3.364680e+03 3.171753e+03 7.615510e+02 7.126964e+02
1.567629e+00 3.390464e+03 3.200908e+03 7.873343e+02 7.418516e+02
1.573914e+00 3.420551e+03 3.223620e+03 8.174212e+02 7.645633e+02
1.580204e+00 3.436897e+03 3.239646e+03 8.337680e+02 7.805889e+02
1.586485e+00 3.465701e+03 3.274690e+03 8.625714e+02 8.156333e+02
1.592760e+00 3.485709e+03 3.290742e+03 8.825798e+02 8.316852e+02
1.599046e+00 3.526790e+03 3.332501e+03 9.236607e+02 8.734440e+02
1.605342e+00 3.546630e+03 3.341524e+03 9.435005e+02 8.824675e+02
1.611620e+00 3.557798e+03 3.351015e+03 9.546686e+02 8.919581e+02
1.617897e+00 3.561965e+03 3.362579e+03 9.588351e+02 9.035222e+02
1.624183e+00 3.560991e+03 3.369645e+03 9.578620e+02 9.105888e+02
1.630464e+00 3.582722e+03 3.382645e+03 9.795924e+02 9.235879e+02
1.636748e+00 3.594326e+03 3.391788e+03 9.911963e+02 9.327308e+02
1.643030e+00 3.596719e+03 3.394534e+03 9.935892e+02 9.354774e+02
1.649308e+00 3.611700e+03 3.407614e+03 1.008570e+03 9.485570e+02
1.655592e+00 3.617622e+03 3.413657e+03 1.014492e+03 9.545999e+02
1.661878e+00 3.614980e+03 3.425640e+03 1.011850e+03 9.665837e+02
1.668168e+00 3.623555e+03 3.416495e+03 1.020426e+03 9.574386e+02
1.674450e+00 3.641644e+03 3.440038e+03 1.038514e+03 9.809809e+02
1.680721e+00 3.655074e+03 3.446558e+03 1.051945e+03 9.875009e+02
1.687012e+00 3.648669e+03 3.444282e+03 1.045540e+03 9.852256e+02
1.693307e+00 3.672544e+03 3.465624e+03 1.069415e+03 1.006568e+03
1.699581e+00 3.688622e+03 3.476739e+03 1.085493e+03 1.017682e+03
1.705862e+00 3.687991e+03 3.485378e+03 1.084862e+03 1.026321e+03
1.712152e+00 3.700493e+03 3.493160e+03 1.097363e+03 1.034103e+03
1.718435e+00 3.699546e+03 3.491172e+03 1.096416e+03 1.032116e+03
1.724718e+00 3.724372e+03 3.514726e+03 1.121243e+03 1.055669e+03
1.730995e+00 3.732009e+03 3.520870e+03 1.128879e+03 1.061813e+03
1.737286e+00 3.747468e+03 3.529236e+03 1.144339e+03 1.070179e+03
1.743566e+00 3.766267e+03 3.545294e+03 1.163138e+03 1.086238e+03
1.749836e+00 3.767522e+03 3.551876e+03 1.164392e+03 1.092819e+03
1.756123e+00 3.789973e+03 3.571106e+03 1.186843e+03 1.112049e+03
1.762411e+00 3.790244e+03 3.577324e+03 1.187114e+03 1.118268e+03
1.768694e+00 3.808880e+03 3.597790e+03 1.205750e+03 1.138734e+03
1.774977e+00 3.834832e+03 3.613243e+03 1.231703e+03 1.154186e+03
1.781264e+00 3.844359e+03 3.630371e+03 1.241229e+03 1.171314e+03
1.787546e+00 3.868466e+03 3.641293e+03 1.265336e+03 1.182236e+03
1.793827e+00 3.869439e+03 3.658359e+03 1.266309e+03 1.199302e+03
1.800108e+00 3.874490e+03 3.653973e+03 1.271361e+03 1.194916e+03
1.806391e+00 3.897345e+03 3.679969e+03 1.294216e+03 1.220913e+03
1.812675e+00 3.920819e+03 3.701094e+03 1.317690e+03 1.242037e+03
1.818954e+00 3.932069e+03 3.711201e+03 1.328939e+03 1.252144e+03
