# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.08087 352.156 301278 352.156
1.08595 349.339 302954 349.339
1.09104 350.266 307674 350.266
1.09614 347.078 310560 347.078
1.1013 344.367 320834 344.367
1.1065 343.04 321582 343.04
1.1117 343.4 325226 343.4
1.11691 339.616 331422 339.616
1.12216 338.109 335066 338.109
1.12744 337.209 341340 337.209
1.13272 335.914 342038 335.914
1.13803 334.237 351354 334.237
1.14339 333.42 355478 333.42
1.14877 330.63 360066 330.63
1.15416 328.688 364634 328.688
1.15957 327.163 369072 327.163
1.16503 326.963 377642 326.963
1.17053 323.218 382074 323.218
1.17602 323.292 384014 323.292
1.18154 319.997 393066 319.997
1.18707 319.95 393950 319.95
1.19264 317.234 404154 317.234
1.19826 316.407 409178 316.407
1.20388 313.577 413334 313.577
1.20954 313.285 421196 313.285
1.21521 310.462 422658 310.462
1.22091 308.511 434990 308.511
1.22666 309.426 437442 309.426
1.23241 306.883 443066 306.883
1.2382 305.025 452150 305.025
1.24401 303.067 455538 303.067
1.24985 301.539 463382 301.539
1.25571 300.548 468666 300.548
1.26162 298.886 479642 298.886
1.26756 297.239 482814 297.239
1.2735 295.02 489386 295.02
1.27948 295.207 498642 295.207
1.2855 293.718 503450 293.718
1.29154 292.376 512838 292.376
1.29761 289.494 517586 289.494
1.30369 288.938 524372 288.938
1.3098 286.666 534270 286.666
1.31596 285.23 540386 285.23
1.32215 283.593 550938 283.593
1.32836 282.236 554270 282.236
1.33459 280.561 564978 280.561
1.34087 278.695 574370 278.695
1.34718 278.55 579614 278.55
1.3535 277.203 587778 277.203
1.35985 274.387 596978 274.387
1.36624 274.063 606570 274.063
1.37267 272.704 613982 272.704
1.37911 270.913 621200 270.913
1.38558 269.913 631386 269.913
1.39208 268.426 640418 268.426
1.39864 266.725 651870 266.725
1.40521 265.166 657770 265.166
1.4118 263.278 667082 263.278
1.41842 261.409 675810 261.409
1.42509 260.272 689318 260.272
1.4318 259.28 698754 259.28
1.43854 257.483 706922 257.483
1.44529 256.109 715562 256.109
1.45208 255.293 727662 255.293
1.45889 253.367 734426 253.367
1.46572 252.086 745746 252.086
1.4726 251.643 759698 251.643
1.47952 249.637 768140 249.637
1.48647 248.387 778770 248.387
1.49347 246.25 795842 246.25
1.50049 245.192 799442 245.192
1.50754 244.076 816042 244.076
1.51462 242.416 822038 242.416
1.52173 241.115 837722 241.115
1.52887 240.952 846330 240.952
1.53605 238.703 860768 238.703
1.54327 237.429 873722 237.429
1.55052 235.383 885438 235.383
1.55781 234.521 898730 234.521
1.56513 233.252 908402 233.252
1.57247 231.474 923226 231.474
1.57985 230.655 933944 230.655
1.58727 228.648 949730 228.648
1.59472 228.086 961278 228.086
1.60222 225.536 981218 225.536
1.60976 224.867 989186 224.867
1.6173 223.419 1001016 223.419
1.62489 222.151 1019138 222.151
1.63253 221.438 1032842 221.438
1.64019 219.781 1045394 219.781
1.6479 218.194 1066230 218.194
1.65565 217.121 1075496 217.121
1.66341 216.302 1090154 216.302
1.67122 214.555 1110378 214.555
1.67908 213.424 1124666 213.424
1.68697 211.919 1139624 211.919
1.6949 210.774 1157114 210.774
1.70286 209.626 1171434 209.626
1.71085 208.246 1188494 208.246
1.71889 207.478 1205504 207.478
1.72697 205.691 1226594 205.691
1.73508 204.412 1235562 204.412
1.74322 203.271 1259120 203.271
1.75141 202.211 1274498 202.211
1.75964 200.628 1295594 200.628
1.76791 199.766 1308312 199.766
1.77621 198.468 1333922 198.468
1.78456 196.78 1348418 196.78
1.79294 196.562 1366112 196.562
1.80136 194.812 1389738 194.812
1.80982 193.59 1407458 193.59
1.81832 192.721 1426520 192.721
1.82687 191.671 1448810 191.671
1.83545 190.35 1465802 190.35
1.84406 189.079 1488456 189.079
1.85272 187.77 1510766 187.77
1.86142 186.388 1528298 186.388
1.87016 185.21 1552784 185.21
1.87895 184.556 1579538 184.556
1.88779 183.255 1595784 183.255
1.89665 181.935 1619930 181.935
1.90555 180.822 1637186 180.822
1.91449 179.99 1669616 179.99
1.9235 178.673 1691834 178.673
1.93253 177.062 1706952 177.062
1.94159 176.397 1739630 176.397
1.95073 175.036 1765064 175.036
1.95988 173.947 1783538 173.947
1.9691 172.721 1817480 172.721
1.97835 171.661 1837034 171.661
1.98765 170.305 1866512 170.305
1.99698 169.39 1888242 169.39
